BEA_2017_Sector_Code,BEA_2017_Sector_Name,BEA_2017_Summary_Code,BEA_2017_Summary_Name,BEA_2017_Detail_Code,BEA_2017_Detail_Name,USEEIO_Code,USEEIO_Industry,NAICS_2017_Code,NAICS_2017_Name
23,Construction,23,Construction,230301,Nonresidential maintenance and repair,230301,Nonresidential maintenance and repair,23,Construction
23,Construction,23,Construction,230302,Residential maintenance and repair,230302,Residential maintenance and repair,23,Construction
23,Construction,23,Construction,233210,Health care structures,233210,Health care structures,23,Construction
23,Construction,23,Construction,233230,Manufacturing structures,233230,Manufacturing structures,23,Construction
23,Construction,23,Construction,233240,Power and communication structures,233240,Power and communication structures,23,Construction
23,Construction,23,Construction,233262,Educational and vocational structures,233262,Educational and vocational structures,23,Construction
23,Construction,23,Construction,2332C0,Transportation structures and highways and streets,2332C0,Transportation structures and highways and streets,23,Construction
23,Construction,23,Construction,2332A0,"Commercial structures, including farm structures",2332A0,"Commercial structures, including farm structures",23,Construction
23,Construction,23,Construction,2332D0,Other nonresidential structures,2332D0,Other nonresidential structures,23,Construction
23,Construction,23,Construction,233411,Single-family residential structures,233411,Single-family residential structures,23,Construction
23,Construction,23,Construction,233412,Multifamily residential structures,233412,Multifamily residential structures,23,Construction
23,Construction,23,Construction,2334A0,Other residential structures,2334A0,Other residential structures,23,Construction
23,Construction,23,Construction,233412,Multifamily residential structures,233412,Multifamily residential structures,236,Construction of Buildings
23,Construction,23,Construction,2334A0,Other residential structures,2334A0,Other residential structures,236,Construction of Buildings
23,Construction,23,Construction,230302,Residential maintenance and repair,230302,Residential maintenance and repair,236,Construction of Buildings
23,Construction,23,Construction,233411,Single-family residential structures,233411,Single-family residential structures,236,Construction of Buildings
23,Construction,23,Construction,2332D0,Other nonresidential structures,2332D0,Other nonresidential structures,236,Construction of Buildings
23,Construction,23,Construction,2332A0,"Commercial structures, including farm structures",2332A0,"Commercial structures, including farm structures",236,Construction of Buildings
23,Construction,23,Construction,233210,Health care structures,233210,Health care structures,236,Construction of Buildings
23,Construction,23,Construction,230301,Nonresidential maintenance and repair,230301,Nonresidential maintenance and repair,236,Construction of Buildings
23,Construction,23,Construction,233262,Educational and vocational structures,233262,Educational and vocational structures,236,Construction of Buildings
23,Construction,23,Construction,233230,Manufacturing structures,233230,Manufacturing structures,236,Construction of Buildings
23,Construction,23,Construction,233412,Multifamily residential structures,233412,Multifamily residential structures,2361,Residential Building Construction
23,Construction,23,Construction,2334A0,Other residential structures,2334A0,Other residential structures,2361,Residential Building Construction
23,Construction,23,Construction,230302,Residential maintenance and repair,230302,Residential maintenance and repair,2361,Residential Building Construction
