Flowable,Context,FlowUUID,Sector,FlowRatio
1-Butanol,emission/air,4d774f37-eb69-3045-80c4-6b3f57c6fddd,221112B,1
1-Butanol,emission/ground,518c3bcc-ac29-3302-9159-20a1350e0c86,221112B,1
1-Methylnaphthalene,emission/air,194ca21a-3be0-3c2b-b788-e5e24cfc988d,221115,0.000115279
1-Methylnaphthalene,emission/air,194ca21a-3be0-3c2b-b788-e5e24cfc988d,221112B,0.992821199
1-Methylnaphthalene,emission/air,194ca21a-3be0-3c2b-b788-e5e24cfc988d,221113,0.000756379
1-Methylnaphthalene,emission/air,194ca21a-3be0-3c2b-b788-e5e24cfc988d,221111,0.006186174
1-Methylnaphthalene,emission/air,194ca21a-3be0-3c2b-b788-e5e24cfc988d,221112A,0.00012097
"1,1-Dichloroethane",emission/air,ad60660d-a560-3357-b658-773a915bfb92,221117,0.935467467
"1,1-Dichloroethane",emission/air,ad60660d-a560-3357-b658-773a915bfb92,221112A,0.064532533
"1,1-Dichloroethylene",emission/air,af1f4d83-5b7d-3b3f-b9a9-a95e80daf466,221117,0.558701621
"1,1-Dichloroethylene",emission/air,af1f4d83-5b7d-3b3f-b9a9-a95e80daf466,221112A,0.441298379
"1,1-Dichloroethylene",emission/water,7a2c7e46-dbf6-34ff-8b7d-a434506535b2,221112B,0.371619032
"1,1-Dichloroethylene",emission/water,7a2c7e46-dbf6-34ff-8b7d-a434506535b2,221112A,0.628380968
"1,1-Dimethylhydrazine",emission/air,d5124a15-fd4d-3dfa-a02c-a9a32d8c336c,221112B,1
"1,1,1-Trichloroethane",emission/air,0c56aee4-7e22-3e85-8e83-34829f3e8304,221112C,0.000150454
"1,1,1-Trichloroethane",emission/air,0c56aee4-7e22-3e85-8e83-34829f3e8304,221117,0.592532197
"1,1,1-Trichloroethane",emission/air,0c56aee4-7e22-3e85-8e83-34829f3e8304,221112B,0.072184781
"1,1,1-Trichloroethane",emission/air,0c56aee4-7e22-3e85-8e83-34829f3e8304,221112A,0.335132567
"1,1,1-Trichloroethane",emission/water,23bc29c9-5fa5-3269-b560-1d4b7a20842d,221112B,1
"1,1,2-Trichloroethane",emission/air,2e6af10c-ada7-3e44-9243-3fc7dd9f580d,221117,0.538361257
"1,1,2-Trichloroethane",emission/air,2e6af10c-ada7-3e44-9243-3fc7dd9f580d,221112B,0.006595283
"1,1,2-Trichloroethane",emission/air,2e6af10c-ada7-3e44-9243-3fc7dd9f580d,221112A,0.45504346
"1,1,2,2-Tetrachloroethane",emission/air,93c46787-fe26-3ebd-84b1-25ae486ef58d,221117,0.923923533
"1,1,2,2-Tetrachloroethane",emission/air,93c46787-fe26-3ebd-84b1-25ae486ef58d,221112B,0.000920308
"1,1,2,2-Tetrachloroethane",emission/air,93c46787-fe26-3ebd-84b1-25ae486ef58d,221114,0.00172318
"1,1,2,2-Tetrachloroethane",emission/air,93c46787-fe26-3ebd-84b1-25ae486ef58d,221112A,0.073432979
"1,2-Dibromo-3-chloropropane",emission/air,707d6cd3-d2d2-383e-9852-bf063efcd75c,221112A,1
"1,2-Dichloroethane",emission/air,c2d517e6-4c5d-3002-8a0d-54434c5a3bae,221112C,0.000870636
"1,2-Dichloroethane",emission/air,c2d517e6-4c5d-3002-8a0d-54434c5a3bae,221112A,0.919106959
"1,2-Dichloroethane",emission/air,c2d517e6-4c5d-3002-8a0d-54434c5a3bae,221112B,0.012063411
"1,2-Dichloroethane",emission/air,c2d517e6-4c5d-3002-8a0d-54434c5a3bae,221117,0.067958994
"1,2-Dichloroethane",emission/water,b7503034-5946-3ef9-8fa9-ec016ce41da9,221112A,0.836035483
"1,2-Dichloroethane",emission/water,b7503034-5946-3ef9-8fa9-ec016ce41da9,221112B,0.163964517
"1,2-Dichloropropane",emission/air,3e75730b-5d6d-3dc1-8911-c7fdfe0e5190,221117,0.508421732
"1,2-Dichloropropane",emission/air,3e75730b-5d6d-3dc1-8911-c7fdfe0e5190,221112A,0.014977917
"1,2-Dichloropropane",emission/air,3e75730b-5d6d-3dc1-8911-c7fdfe0e5190,221112B,0.47660035
"1,2-Dichloropropane",emission/water,a26535d8-fd0d-3629-99de-7864c5dc78d0,221112B,1
"1,2,3-Trichloropropane",emission/air,27280e4a-ec1a-339d-990e-bb5a8a225663,221112B,1
"1,2,4-Trichlorobenzene",emission/air,2b548673-879c-3885-afe9-2439ce6a47f1,221112B,0.149233647
"1,2,4-Trichlorobenzene",emission/air,2b548673-879c-3885-afe9-2439ce6a47f1,221112A,0.850766353
"1,2,4-Trimethylbenzene",emission/air,37ea99ef-1be1-38e3-b5f4-8bbe233b6843,221112C,0.008107004
"1,2,4-Trimethylbenzene",emission/air,37ea99ef-1be1-38e3-b5f4-8bbe233b6843,221112B,0.95047962
"1,2,4-Trimethylbenzene",emission/air,37ea99ef-1be1-38e3-b5f4-8bbe233b6843,221112A,0.041413376
"1,2,4-Trimethylbenzene",emission/ground,c128dfdb-e9be-3ea3-b64e-a27ba8d81d23,221112C,1
"1,2,4-Trimethylbenzene",emission/water,a451a5f6-30e6-37d5-ac4b-ab75b81e79e3,221112C,1
"1,3-Butadiene",emission/air,457411b2-4dac-3eb2-965d-97b60660afa2,221117,0.001751133
"1,3-Butadiene",emission/air,457411b2-4dac-3eb2-965d-97b60660afa2,221112C,0.026129805
"1,3-Butadiene",emission/air,457411b2-4dac-3eb2-965d-97b60660afa2,221113,0.000172449
"1,3-Butadiene",emission/air,457411b2-4dac-3eb2-965d-97b60660afa2,221112A,0.000633254
"1,3-Butadiene",emission/air,457411b2-4dac-3eb2-965d-97b60660afa2,221111,0.002487823
"1,3-Butadiene",emission/air,457411b2-4dac-3eb2-965d-97b60660afa2,221115,2.26E-05
"1,3-Butadiene",emission/air,457411b2-4dac-3eb2-965d-97b60660afa2,221114,0.000109459
"1,3-Butadiene",emission/air,457411b2-4dac-3eb2-965d-97b60660afa2,221112B,0.968693428
"1,3-Dichloropropene",emission/air,1cb3814f-067b-3f04-af78-4f6ad4c132b7,221112A,0.987309891
"1,3-Dichloropropene",emission/air,1cb3814f-067b-3f04-af78-4f6ad4c132b7,221112B,2.28E-05
"1,3-Dichloropropene",emission/air,1cb3814f-067b-3f04-af78-4f6ad4c132b7,221117,0.012667338
"1,4-Dioxane",emission/air,f5fa456c-34ed-39a3-868a-377e30ed76c6,221112B,1
"1,4-Dioxane",emission/water,b51f43e4-5a5f-3eb7-921f-6d3746d33fb6,221112B,1
2-Chloroacetophenone,emission/air,0bf913b1-486a-3ce1-991b-d1e8687b67e0,221117,0.000518005
2-Chloroacetophenone,emission/air,0bf913b1-486a-3ce1-991b-d1e8687b67e0,221112C,0.000908534
2-Chloroacetophenone,emission/air,0bf913b1-486a-3ce1-991b-d1e8687b67e0,221112A,0.987973813
2-Chloroacetophenone,emission/air,0bf913b1-486a-3ce1-991b-d1e8687b67e0,221112B,0.010599649
2-Chloronaphthalene,emission/air,3471d156-1b5e-34c1-b47f-73403c7eeda9,221117,1
2-Methylnaphthalene,emission/air,5f3bb2ec-d153-3cb5-9bc1-3eef8f44bf67,221112A,0.000247998
2-Methylnaphthalene,emission/air,5f3bb2ec-d153-3cb5-9bc1-3eef8f44bf67,221111,0.001699752
2-Methylnaphthalene,emission/air,5f3bb2ec-d153-3cb5-9bc1-3eef8f44bf67,221117,0.000478862
2-Methylnaphthalene,emission/air,5f3bb2ec-d153-3cb5-9bc1-3eef8f44bf67,221118,7.93E-07
2-Methylnaphthalene,emission/air,5f3bb2ec-d153-3cb5-9bc1-3eef8f44bf67,221112B,0.997272214
2-Methylnaphthalene,emission/air,5f3bb2ec-d153-3cb5-9bc1-3eef8f44bf67,221115,3.17E-05
2-Methylnaphthalene,emission/air,5f3bb2ec-d153-3cb5-9bc1-3eef8f44bf67,221113,0.000209615
2-Methylnaphthalene,emission/air,5f3bb2ec-d153-3cb5-9bc1-3eef8f44bf67,221112C,5.91E-05
2-Propen-1-ol,emission/air,cf98105a-0886-3a36-a4c4-3a951da54e52,221112B,1
"2,2,4-Trimethylpentane",emission/air,3b981d82-2f3d-3ac0-89b5-5e38b91ef0f3,221111,0.000147044
"2,2,4-Trimethylpentane",emission/air,3b981d82-2f3d-3ac0-89b5-5e38b91ef0f3,221117,0.00925369
"2,2,4-Trimethylpentane",emission/air,3b981d82-2f3d-3ac0-89b5-5e38b91ef0f3,221115,2.80E-06
"2,2,4-Trimethylpentane",emission/air,3b981d82-2f3d-3ac0-89b5-5e38b91ef0f3,221112B,0.987215753
"2,2,4-Trimethylpentane",emission/air,3b981d82-2f3d-3ac0-89b5-5e38b91ef0f3,221113,1.26E-05
"2,2,4-Trimethylpentane",emission/air,3b981d82-2f3d-3ac0-89b5-5e38b91ef0f3,221112C,3.80E-06
"2,2,4-Trimethylpentane",emission/air,3b981d82-2f3d-3ac0-89b5-5e38b91ef0f3,221112A,0.003364347
"2,3,7,8-Tetrachlorodibenzo-p-dioxin",emission/water,c7e05642-0ebb-3835-8654-21192725df17,221112B,1
"2,4-Dimethylphenol",emission/water,c979ddf8-5576-36eb-bc76-040e01f99cc6,221112C,1
"2,4-Dinitrophenol",emission/air,aa1aac60-dfbe-32b9-9203-81a6c58a340b,221112B,0.000228425
"2,4-Dinitrophenol",emission/air,aa1aac60-dfbe-32b9-9203-81a6c58a340b,221112A,0.990449946
"2,4-Dinitrophenol",emission/air,aa1aac60-dfbe-32b9-9203-81a6c58a340b,221117,0.009321629
"2,4-Dinitrotoluene",emission/air,7fdbc046-29ad-3377-a9c1-a45031e0cd53,221112B,0.000834484
"2,4-Dinitrotoluene",emission/air,7fdbc046-29ad-3377-a9c1-a45031e0cd53,221112C,7.14E-05
"2,4-Dinitrotoluene",emission/air,7fdbc046-29ad-3377-a9c1-a45031e0cd53,221112A,0.999053372
"2,4-Dinitrotoluene",emission/air,7fdbc046-29ad-3377-a9c1-a45031e0cd53,221117,4.07E-05
"2,4-Toluenediamine",emission/air,e6301ab3-57fe-3b52-b315-9870d45055ab,221112A,1
"2,4,5-Trichlorophenol",emission/air,dfe2fcba-feff-3e93-be27-4f46cca1e887,221112A,1
"2,4,6-Trichlorophenol",emission/air,b6e5d387-9d6a-304d-9438-db81eb4da4f3,221112A,0.999353299
"2,4,6-Trichlorophenol",emission/air,b6e5d387-9d6a-304d-9438-db81eb4da4f3,221117,0.000646701
3-Methylcholanthrene,emission/air,9a75a979-3c99-3b02-9944-baa838fe12ac,221112B,0.949369316
3-Methylcholanthrene,emission/air,9a75a979-3c99-3b02-9944-baa838fe12ac,221112C,0.011020469
3-Methylcholanthrene,emission/air,9a75a979-3c99-3b02-9944-baa838fe12ac,221117,0.007435715
3-Methylcholanthrene,emission/air,9a75a979-3c99-3b02-9944-baa838fe12ac,221112A,0.0321745
"3,3'-Dichlorobenzidine",emission/air,62f3e781-d884-3080-9344-dded2766ff3b,221112A,1
5-Methylchrysene,emission/air,647cac25-44c0-35e5-88c8-8935f2660071,221112C,0.005148046
5-Methylchrysene,emission/air,647cac25-44c0-35e5-88c8-8935f2660071,221112B,0.056746362
5-Methylchrysene,emission/air,647cac25-44c0-35e5-88c8-8935f2660071,221117,0.002934111
5-Methylchrysene,emission/air,647cac25-44c0-35e5-88c8-8935f2660071,221112A,0.935171481
"7,12-Dimethylbenz[a]anthracene",emission/air,675d27f1-91b6-3a26-b747-2d8f5fdfa02f,221117,0.007592105
"7,12-Dimethylbenz[a]anthracene",emission/air,675d27f1-91b6-3a26-b747-2d8f5fdfa02f,221112C,0.011236008
"7,12-Dimethylbenz[a]anthracene",emission/air,675d27f1-91b6-3a26-b747-2d8f5fdfa02f,221112B,0.950062654
"7,12-Dimethylbenz[a]anthracene",emission/air,675d27f1-91b6-3a26-b747-2d8f5fdfa02f,221112A,0.031109232
Acenaphthene,emission/air,43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,221111,0.001032103
Acenaphthene,emission/air,43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,221112A,0.931975691
Acenaphthene,emission/air,43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,221112B,0.060370991
Acenaphthene,emission/air,43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,221113,0.000443132
Acenaphthene,emission/air,43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,221117,0.00522974
Acenaphthene,emission/air,43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,221115,2.01E-05
Acenaphthene,emission/air,43aed9d7-5a9b-3f3e-8d51-cc8bebd9a9a1,221112C,0.000928268
