State,ActivityProducedBy,Share,Year
US,221100,0.6404913710116216,2012
US,221200,0.10727150968930062,2012
US,221300,0.2522371192990778,2012
US,221100,0.6420260751272352,2013
US,221200,0.10719023464234716,2013
US,221300,0.2507836902304176,2013
US,221100,0.6389537035998339,2014
US,221200,0.10853628439698014,2014
US,221300,0.2525100120031859,2014
US,221100,0.63667485063675,2015
US,221200,0.10935406914875119,2015
US,221300,0.2539710802144988,2015
US,221100,0.6354175796809285,2016
US,221200,0.10814819143178722,2016
US,221300,0.2564342288872843,2016
US,221100,0.6343800234578942,2017
US,221200,0.10686993127004159,2017
US,221300,0.2587500452720642,2017
US,221100,0.6370838539604272,2018
US,221200,0.1030946587508028,2018
US,221300,0.25982148728876997,2018
US,221100,0.6323852959185828,2019
US,221200,0.10409549347916358,2019
US,221300,0.26351921060225364,2019
US,221100,0.6345549827470847,2020
US,221200,0.10106699586185734,2020
US,221300,0.26437802139105804,2020
Alabama,221100,0.699668282725185,2012
Alabama,221200,0.10142893595304925,2012
Alabama,221300,0.19890278132176575,2012
Alaska,221100,1.0,2012
Alaska,221200,0.0,2012
Alaska,221300,0.0,2012
Arizona,221100,0.9927331449333872,2012
Arizona,221200,0.0,2012
Arizona,221300,0.0072668550666128385,2012
Arkansas,221100,0.5314065510597302,2012
Arkansas,221200,0.12244701348747591,2012
Arkansas,221300,0.34614643545279383,2012
California,221100,0.40988151790170235,2012
California,221200,0.0,2012
California,221300,0.5901184820982976,2012
Colorado,221100,0.7833768819211149,2012
Colorado,221200,0.1272863008585293,2012
Colorado,221300,0.08933681722035586,2012
Connecticut,221100,0.5353260869565217,2012
Connecticut,221200,0.1331521739130435,2012
Connecticut,221300,0.33152173913043476,2012
Delaware,221100,1.0,2012
Delaware,221200,0.0,2012
Delaware,221300,0.0,2012
District Of Columbia,221100,,2012
District Of Columbia,221200,,2012
District Of Columbia,221300,,2012
Florida,221100,0.782295311406578,2012
Florida,221200,0.06018194541637509,2012
Florida,221300,0.1575227431770469,2012
Georgia,221100,0.8606474456246839,2012
Georgia,221200,0.09403136064744562,2012
Georgia,221300,0.04532119372787051,2012
Hawaii,221100,1.0,2012
Hawaii,221200,0.0,2012
Hawaii,221300,0.0,2012
Idaho,221100,0.5671897289586305,2012
Idaho,221200,0.07845934379457917,2012
Idaho,221300,0.3543509272467903,2012
Illinois,221100,0.6654611211573237,2012
Illinois,221200,0.14788426763110307,2012
Illinois,221300,0.18665461121157323,2012
Indiana,221100,0.7119979168022915,2012
Indiana,221200,0.12180196601783738,2012
Indiana,221300,0.1662001171798711,2012
Iowa,221100,0.7912936848559167,2012
Iowa,221200,0.07136725935009197,2012
Iowa,221300,0.13733905579399142,2012
Kansas,221100,0.6606669611307421,2012
Kansas,221200,0.20262809187279152,2012
Kansas,221300,0.13670494699646643,2012
Kentucky,221100,0.5605687504964652,2012
Kentucky,221200,0.07069663992374295,2012
Kentucky,221300,0.36873460957979187,2012
Louisiana,221100,0.46764684991831806,2012
Louisiana,221200,0.12486682292776476,2012
Louisiana,221300,0.4074863271539172,2012
Maine,221100,0.5032456440040998,2012
Maine,221200,0.02801503245644004,2012
Maine,221300,0.4687393235394602,2012
Maryland,221100,0.9028843352432747,2012
Maryland,221200,0.049528989025929886,2012
Maryland,221300,0.04758667573079538,2012
Massachusetts,221100,0.5052857483506875,2012
Massachusetts,221200,0.25570304427311025,2012
Massachusetts,221300,0.2390112073762022,2012
Michigan,221100,0.8485677974386548,2012
Michigan,221200,0.1131097859028253,2012
Michigan,221300,0.038322416658519896,2012
Minnesota,221100,0.8330964899815262,2012
Minnesota,221200,0.11809009521102742,2012
Minnesota,221300,0.04881341480744635,2012
Mississippi,221100,0.7169085312225154,2012
Mississippi,221200,0.07310905892700088,2012
Mississippi,221300,0.20998240985048372,2012
Missouri,221100,0.523525971609336,2012
Missouri,221200,0.14737625604763677,2012
Missouri,221300,0.3290977723430273,2012
Montana,221100,0.7898572730033404,2012
Montana,221200,0.09839052535681748,2012
Montana,221300,0.11175220163984209,2012
Nebraska,221100,0.7332264712617358,2012
Nebraska,221200,0.15846118616899474,2012
Nebraska,221300,0.10831234256926953,2012
Nevada,221100,0.6879575864680636,2012
Nevada,221200,0.0,2012
Nevada,221300,0.3120424135319364,2012
New Hampshire,221100,0.7851796407185628,2012
New Hampshire,221200,0.0748502994011976,2012
New Hampshire,221300,0.13997005988023953,2012
New Jersey,221100,0.5142242575631418,2012
New Jersey,221200,0.27921176797113517,2012
New Jersey,221300,0.206563974465723,2012
New Mexico,221100,0.518206829584075,2012
New Mexico,221200,0.1844958731186276,2012
New Mexico,221300,0.2972972972972973,2012
New York,221100,0.7616969504615303,2012
New York,221200,0.16334735115977678,2012
