"Flowable","Context","FlowUUID","Sector","FlowRatio"
"Water","emission/air/troposphere/ground-level","","221100",1
"Water, fresh","emission/air/troposphere/ground-level","","221100",1
"Water, fresh","resource/water/fresh water body","","221100",0.907847888636718
"Water, fresh","resource/water/fresh water body","","22X",0.0921521113632819
"Water, fresh","resource/water/subterranean/fresh water body","","221100",0.0700765446579275
"Water, fresh","resource/water/subterranean/fresh water body","","22X",0.929923455342073
"Water, saline","resource/water/saline water body","","221100",1
"Water, saline","resource/water/subterranean/saline water body","","221100",1
"1,1-Dichloroethane","emission/air","","221100",0.623240890992679
"1,1-Dichloroethane","emission/air","","22X",0.376759109007321
"1,1-Dichloroethylene","emission/air","","221100",0.107341784437035
"1,1-Dichloroethylene","emission/air","","22X",0.892658215562965
"1,1-Dimethylhydrazine","emission/air","","221100",1
"1,1,1-Trichloroethane","emission/air","","221100",0.218288244999612
"1,1,1-Trichloroethane","emission/air","","22X",0.781711755000388
"1,1,2-Trichloroethane","emission/air","","221100",0.426043113374257
"1,1,2-Trichloroethane","emission/air","","22X",0.573956886625744
"1,1,2,2-Tetrachloroethane","emission/air","","221100",0.235799339929909
"1,1,2,2-Tetrachloroethane","emission/air","","22X",0.764200660070091
"1,2-Dichloroethane","emission/air","","221100",0.703198130352856
"1,2-Dichloroethane","emission/air","","22X",0.296801869647144
"1,2-Dichloropropane","emission/air","","221100",0.383310095438901
"1,2-Dichloropropane","emission/air","","22X",0.616689904561099
"1,2,4-Trichlorobenzene","emission/air","","221100",0.539050462943468
"1,2,4-Trichlorobenzene","emission/air","","22X",0.460949537056532
"1,2,4-Trimethylbenzene","emission/air","","221100",0.996494371518716
"1,2,4-Trimethylbenzene","emission/air","","22X",0.00350562848128384
"1,3-Butadiene","emission/air","","221100",0.717595194352346
"1,3-Butadiene","emission/air","","22X",0.282404805647654
"1,3-Dichloropropene","emission/air","","221100",0.431393800568674
"1,3-Dichloropropene","emission/air","","22X",0.568606199431326
"1,4-Dioxane","emission/air","","221100",0.00097388499783038
"1,4-Dioxane","emission/air","","22X",0.99902611500217
"2-Chloroacetophenone","emission/air","","221100",0.999534322944684
"2-Chloroacetophenone","emission/air","","22X",0.000465677055315895
"2-Chlorobiphenyl","emission/air","","221100",0.324194778144233
"2-Chlorobiphenyl","emission/air","","22X",0.675805221855767
"2-Chloronaphthalene","emission/air","","221100",0.750453786056516
"2-Chloronaphthalene","emission/air","","22X",0.249546213943484
"2-Methylnaphthalene","emission/air","","221100",0.707203180405566
"2-Methylnaphthalene","emission/air","","22X",0.292796819594434
"2,2,4-Trimethylpentane","emission/air","","221100",0.311890811283507
"2,2,4-Trimethylpentane","emission/air","","22X",0.688109188716493
"2,4-Dinitrophenol","emission/air","","221100",0.857877624521288
"2,4-Dinitrophenol","emission/air","","22X",0.142122375478712
"2,4-Dinitrotoluene","emission/air","","221100",0.671030815846188
"2,4-Dinitrotoluene","emission/air","","22X",0.328969184153812
"2,4,5-Trichlorophenol","emission/air","","221100",1
"2,4,6-Trichlorophenol","emission/air","","221100",0.309174204077361
"2,4,6-Trichlorophenol","emission/air","","22X",0.690825795922639
"3-Methylcholanthrene","emission/air","","221100",0.962866833764136
"3-Methylcholanthrene","emission/air","","22X",0.0371331662358641
"5-Methylchrysene","emission/air","","221100",0.998428431681342
"5-Methylchrysene","emission/air","","22X",0.00157156831865828
"7,12-Dimethylbenz[a]anthracene","emission/air","","221100",0.970497834230408
"7,12-Dimethylbenz[a]anthracene","emission/air","","22X",0.0295021657695921
"Acenaphthene","emission/air","","221100",0.0590937141624503
"Acenaphthene","emission/air","","22X",0.94090628583755
"Acenaphthylene","emission/air","","221100",0.633134755117857
"Acenaphthylene","emission/air","","22X",0.366865244882143
"Acetaldehyde","emission/air","","221100",0.823916640762069
"Acetaldehyde","emission/air","","22X",0.176083359237931
"Acetonitrile","emission/air","","221100",0.000248184025125329
"Acetonitrile","emission/air","","22X",0.999751815974875
"Acetophenone","emission/air","","221100",0.984807047160379
"Acetophenone","emission/air","","22X",0.015192952839621
"Acrolein","emission/air","","221100",0.722005844221816
"Acrolein","emission/air","","22X",0.277994155778184
"Acrylonitrile","emission/air","","221100",0.574779470509358
"Acrylonitrile","emission/air","","22X",0.425220529490642
"Allyl chloride","emission/air","","221100",0.977137897435704
"Allyl chloride","emission/air","","22X",0.0228621025642957
"Ammonia","emission/air","","221100",0.809458095211295
"Ammonia","emission/air","","22X",0.190541904788705
"Aniline","emission/air","","221100",0.81684070943146
"Aniline","emission/air","","22X",0.18315929056854
"Anthracene","emission/air","","221100",0.834141471381339
"Anthracene","emission/air","","22X",0.165858528618661
"Antimony","emission/air","","221100",0.970053294093946
"Antimony","emission/air","","22X",0.0299467059060538
"Antimony compounds","emission/air","","221100",1
"Arsenic","emission/air","","221100",0.958627320389616
"Arsenic","emission/air","","22X",0.0413726796103845
"Arsenic compounds","emission/air","","221100",1
"Asbestos","emission/air","","221100",0.999447887289797
"Asbestos","emission/air","","22X",0.000552112710202651
"Barium","emission/air","","221100",1
"Barium compounds","emission/air","","221100",1
"Benz[a]anthracene","emission/air","","221100",0.996219416718387
"Benz[a]anthracene","emission/air","","22X",0.00378058328161327
"Benzene","emission/air","","221100",0.780410485736284
"Benzene","emission/air","","22X",0.219589514263716
"Benzidine","emission/air","","221100",1
"Benzo(b)fluoranthene","emission/air","","221100",0.784272707099009
"Benzo(b)fluoranthene","emission/air","","22X",0.215727292900991
"Benzo[a]pyrene","emission/air","","221100",0.992797761962282
"Benzo[a]pyrene","emission/air","","22X",0.00720223803771818
"Benzo[e]pyrene","emission/air","","221100",0.538581254692943
"Benzo[e]pyrene","emission/air","","22X",0.461418745307056
"Benzo[ghi]perylene","emission/air","","221100",0.99298144383352
"Benzo[ghi]perylene","emission/air","","22X",0.00701855616647972
"Benzo[k]fluoranthene","emission/air","","221100",0.913257035866361
"Benzo[k]fluoranthene","emission/air","","22X",0.0867429641336394
"Benzofluoranthene","emission/air","","221100",0.995550489863991
"Benzofluoranthene","emission/air","","22X",0.0044495101360094
"Benzyl chloride","emission/air","","221100",0.999014908717941
"Benzyl chloride","emission/air","","22X",0.00098509128205888
"Beryllium","emission/air","","221100",0.963452448361344
"Beryllium","emission/air","","22X",0.036547551638656
"Beryllium compounds","emission/air","","221100",1
"Biphenyl","emission/air","","221100",0.884907320525374
"Biphenyl","emission/air","","22X",0.115092679474626
"Bromine","emission/air","","221100",1
"Cadmium","emission/air","","221100",0.961352387123784
"Cadmium","emission/air","","22X",0.0386476128762156
"Cadmium compounds","emission/air","","221100",1
"Calcium cyanamide","emission/air","","221100",1
"Carbon disulfide","emission/air","","221100",0.371224607154202
"Carbon disulfide","emission/air","","22X",0.628775392845798
"Carbon monoxide","emission/air","","221100",0.96063808111591
"Carbon monoxide","emission/air","","22X",0.0393619188840902
"Carbon tetrachloride","emission/air","","221100",0.121635370306292
"Carbon tetrachloride","emission/air","","22X",0.878364629693708
"Carbonyl sulfide","emission/air","","221100",0.364343002058295
"Carbonyl sulfide","emission/air","","22X",0.635656997941704
"Catechol","emission/air","","221100",0.11190053285968
"Catechol","emission/air","","22X",0.88809946714032
"Chlorine","emission/air","","221100",0.93529099930446
"Chlorine","emission/air","","22X",0.0647090006955405
"Chlorine dioxide","emission/air","","221100",1
"Chlorobenzene","emission/air","","221100",0.496485013771821
"Chlorobenzene","emission/air","","22X",0.503514986228179
"Chloroethane","emission/air","","221100",0.984161005893058
"Chloroethane","emission/air","","22X",0.0158389941069421
"Chloroform","emission/air","","221100",0.348226429896114
"Chloroform","emission/air","","22X",0.651773570103886
"Chloromethane","emission/air","","221100",0.993665577030142
"Chloromethane","emission/air","","22X",0.00633442296985765
"Chromic(VI) acid","emission/air","","221100",0.995064964876999
"Chromic(VI) acid","emission/air","","22X",0.00493503512300092
"Chromium","emission/air","","221100",1
"Chromium compounds","emission/air","","221100",1
"Chromium(III)","emission/air","","221100",0.992320760586347
"Chromium(III)","emission/air","","22X",0.00767923941365264
"Chromium(VI)","emission/air","","221100",0.967651954936091
"Chromium(VI)","emission/air","","22X",0.0323480450639094
"Chrysene","emission/air","","221100",0.997848328198706
"Chrysene","emission/air","","22X",0.00215167180129387
"Cobalt","emission/air","","221100",0.961698539219469
"Cobalt","emission/air","","22X",0.0383014607805308
"Cobalt compounds","emission/air","","221100",1
"Copper","emission/air","","221100",1
"Copper compounds","emission/air","","221100",1
"Cresol","emission/air","","221100",0.977225356817737
"Cresol","emission/air","","22X",0.0227746431822634
