"Flowable","Context","FlowUUID","Sector","FlowRatio"
"Water","emission/air/troposphere/ground-level","","221100",1
"Water, fresh","emission/air/troposphere/ground-level","","221100",1
"Water, fresh","resource/water/fresh water body","","221100",0.907847888636718
"Water, fresh","resource/water/fresh water body","","221300",0.0921521113632819
"Water, fresh","resource/water/subterranean/fresh water body","","221100",0.0700765446579275
"Water, fresh","resource/water/subterranean/fresh water body","","221300",0.929923455342073
"Water, saline","resource/water/saline water body","","221100",1
"Water, saline","resource/water/subterranean/saline water body","","221100",1
"1,1-Dichloroethane","emission/air","","221100",0.623240890992679
"1,1-Dichloroethane","emission/air","","221200",0.0255357966388812
"1,1-Dichloroethane","emission/air","","221300",0.35122331236844
"1,1-Dichloroethylene","emission/air","","221100",0.107341784437035
"1,1-Dichloroethylene","emission/air","","221300",0.892658215562965
"1,1-Dimethylhydrazine","emission/air","","221100",1
"1,1,1-Trichloroethane","emission/air","","221100",0.218288244999612
"1,1,1-Trichloroethane","emission/air","","221300",0.781711755000388
"1,1,2-Trichloroethane","emission/air","","221100",0.426043113374257
"1,1,2-Trichloroethane","emission/air","","221200",0.117527522802421
"1,1,2-Trichloroethane","emission/air","","221300",0.456429363823322
"1,1,2,2-Tetrachloroethane","emission/air","","221100",0.235799339929909
"1,1,2,2-Tetrachloroethane","emission/air","","221200",0.0758213868023184
"1,1,2,2-Tetrachloroethane","emission/air","","221300",0.688379273267773
"1,2-Dichloroethane","emission/air","","221100",0.703198130352856
"1,2-Dichloroethane","emission/air","","221200",0.00691521868732921
"1,2-Dichloroethane","emission/air","","221300",0.289886650959814
"1,2-Dichloropropane","emission/air","","221100",0.383310095438901
"1,2-Dichloropropane","emission/air","","221200",0.0221168187960939
"1,2-Dichloropropane","emission/air","","221300",0.594573085765005
"1,2,4-Trichlorobenzene","emission/air","","221100",0.539050462943468
"1,2,4-Trichlorobenzene","emission/air","","221300",0.460949537056532
"1,2,4-Trimethylbenzene","emission/air","","221100",0.996494371518716
"1,2,4-Trimethylbenzene","emission/air","","221300",0.00350562848128384
"1,3-Butadiene","emission/air","","221100",0.717595194352346
"1,3-Butadiene","emission/air","","221200",0.149200649935943
"1,3-Butadiene","emission/air","","221300",0.133204155711711
"1,3-Dichloropropene","emission/air","","221100",0.431393800568674
"1,3-Dichloropropene","emission/air","","221200",0.12046858464949
"1,3-Dichloropropene","emission/air","","221300",0.448137614781837
"1,4-Dioxane","emission/air","","221100",0.00097388499783038
"1,4-Dioxane","emission/air","","221300",0.99902611500217
"2-Chloroacetophenone","emission/air","","221100",0.999534322944684
"2-Chloroacetophenone","emission/air","","221300",0.000465677055315895
"2-Chlorobiphenyl","emission/air","","221100",0.324194778144233
"2-Chlorobiphenyl","emission/air","","221300",0.675805221855767
"2-Chloronaphthalene","emission/air","","221100",0.750453786056516
"2-Chloronaphthalene","emission/air","","221300",0.249546213943484
"2-Methylnaphthalene","emission/air","","221100",0.707203180405566
"2-Methylnaphthalene","emission/air","","221200",0.0442380037003079
"2-Methylnaphthalene","emission/air","","221300",0.248558815894127
"2,2,4-Trimethylpentane","emission/air","","221100",0.311890811283507
"2,2,4-Trimethylpentane","emission/air","","221200",0.49820539840994
"2,2,4-Trimethylpentane","emission/air","","221300",0.189903790306552
"2,4-Dinitrophenol","emission/air","","221100",0.857877624521288
"2,4-Dinitrophenol","emission/air","","221300",0.142122375478712
"2,4-Dinitrotoluene","emission/air","","221100",0.671030815846188
"2,4-Dinitrotoluene","emission/air","","221300",0.328969184153812
"2,4,5-Trichlorophenol","emission/air","","221100",1
"2,4,6-Trichlorophenol","emission/air","","221100",0.309174204077361
"2,4,6-Trichlorophenol","emission/air","","221300",0.690825795922639
"3-Methylcholanthrene","emission/air","","221100",0.962866833764136
"3-Methylcholanthrene","emission/air","","221200",0.000498791677332626
"3-Methylcholanthrene","emission/air","","221300",0.0366343745585315
"5-Methylchrysene","emission/air","","221100",0.998428431681342
"5-Methylchrysene","emission/air","","221300",0.00157156831865828
"7,12-Dimethylbenz[a]anthracene","emission/air","","221100",0.970497834230408
"7,12-Dimethylbenz[a]anthracene","emission/air","","221200",0.000332768062379497
"7,12-Dimethylbenz[a]anthracene","emission/air","","221300",0.0291693977072126
"Acenaphthene","emission/air","","221100",0.0590937141624503
"Acenaphthene","emission/air","","221200",0.000251656724996389
"Acenaphthene","emission/air","","221300",0.940654629112553
"Acenaphthylene","emission/air","","221100",0.633134755117857
"Acenaphthylene","emission/air","","221200",0.0460486545133872
"Acenaphthylene","emission/air","","221300",0.320816590368756
"Acetaldehyde","emission/air","","221100",0.823916640762069
"Acetaldehyde","emission/air","","221200",0.0815065526280234
"Acetaldehyde","emission/air","","221300",0.0945768066099078
"Acetonitrile","emission/air","","221100",0.000248184025125329
"Acetonitrile","emission/air","","221200",0.970864698028121
"Acetonitrile","emission/air","","221300",0.028887117946754
"Acetophenone","emission/air","","221100",0.984807047160379
"Acetophenone","emission/air","","221300",0.015192952839621
"Acrolein","emission/air","","221100",0.722005844221816
"Acrolein","emission/air","","221200",0.110441124637758
"Acrolein","emission/air","","221300",0.167553031140426
"Acrylonitrile","emission/air","","221100",0.574779470509358
"Acrylonitrile","emission/air","","221300",0.425220529490642
"Allyl chloride","emission/air","","221100",0.977137897435704
"Allyl chloride","emission/air","","221300",0.0228621025642957
"Ammonia","emission/air","","221100",0.809458095211295
"Ammonia","emission/air","","221200",0.0640775988631357
"Ammonia","emission/air","","221300",0.12646430592557
"Aniline","emission/air","","221100",0.81684070943146
"Aniline","emission/air","","221300",0.18315929056854
"Anthracene","emission/air","","221100",0.834141471381339
"Anthracene","emission/air","","221200",0.0024788767332967
"Anthracene","emission/air","","221300",0.163379651885364
"Antimony","emission/air","","221100",0.970053294093946
"Antimony","emission/air","","221300",0.0299467059060538
"Antimony compounds","emission/air","","221100",1
"Arsenic","emission/air","","221100",0.958627320389616
"Arsenic","emission/air","","221200",7.38304745051349e-05
"Arsenic","emission/air","","221300",0.0412988491358793
"Arsenic compounds","emission/air","","221100",1
"Asbestos","emission/air","","221100",0.999447887289797
"Asbestos","emission/air","","221300",0.000552112710202651
"Barium","emission/air","","221100",1
"Barium compounds","emission/air","","221100",1
"Benz[a]anthracene","emission/air","","221100",0.996219416718387
"Benz[a]anthracene","emission/air","","221200",0.00206243850725712
"Benz[a]anthracene","emission/air","","221300",0.00171814477435615
"Benzene","emission/air","","221100",0.780410485736284
"Benzene","emission/air","","221200",0.0401357517851054
"Benzene","emission/air","","221300",0.179453762478611
"Benzidine","emission/air","","221100",1
"Benzo(b)fluoranthene","emission/air","","221100",0.784272707099009
"Benzo(b)fluoranthene","emission/air","","221200",0.0140937430190534
"Benzo(b)fluoranthene","emission/air","","221300",0.201633549881938
"Benzo[a]pyrene","emission/air","","221100",0.992797761962282
"Benzo[a]pyrene","emission/air","","221200",0.00270405076257185
"Benzo[a]pyrene","emission/air","","221300",0.00449818727514633
"Benzo[e]pyrene","emission/air","","221100",0.538581254692943
"Benzo[e]pyrene","emission/air","","221200",0.103472053626217
"Benzo[e]pyrene","emission/air","","221300",0.357946691680839
"Benzo[ghi]perylene","emission/air","","221100",0.99298144383352
"Benzo[ghi]perylene","emission/air","","221200",0.00114842784453017
"Benzo[ghi]perylene","emission/air","","221300",0.00587012832194955
"Benzo[k]fluoranthene","emission/air","","221100",0.913257035866361
"Benzo[k]fluoranthene","emission/air","","221200",0.00102318029336661
"Benzo[k]fluoranthene","emission/air","","221300",0.0857197838402728
"Benzofluoranthene","emission/air","","221100",0.995550489863991
"Benzofluoranthene","emission/air","","221300",0.0044495101360094
"Benzyl chloride","emission/air","","221100",0.999014908717941
"Benzyl chloride","emission/air","","221300",0.00098509128205888
"Beryllium","emission/air","","221100",0.963452448361344
"Beryllium","emission/air","","221200",9.29542913123354e-06
"Beryllium","emission/air","","221300",0.0365382562095248
"Beryllium compounds","emission/air","","221100",1
"Biphenyl","emission/air","","221100",0.884907320525374
"Biphenyl","emission/air","","221200",0.0746942833643919
"Biphenyl","emission/air","","221300",0.0403983961102344
"Bromine","emission/air","","221100",1
"Cadmium","emission/air","","221100",0.961352387123784
"Cadmium","emission/air","","221200",0.00128188102587004
"Cadmium","emission/air","","221300",0.0373657318503456
"Cadmium compounds","emission/air","","221100",1
"Calcium cyanamide","emission/air","","221100",1
"Carbon disulfide","emission/air","","221100",0.371224607154202
"Carbon disulfide","emission/air","","221300",0.628775392845798
"Carbon monoxide","emission/air","","221100",0.96063808111591
"Carbon monoxide","emission/air","","221200",0.0145948848144748
